NAME,CATEGORY,STREET ADDRESS,ADDRESS,CITY,ZIP CODE,COUNTRY NAME,COUNTRY CODE,PHONE,EMAIL,WEBSITE,FACEBOOK,INSTAGRAM,LINKEDIN,TWITTER,URL,BOOKING LINK,SCORE,RATINGS,OPENING HOURS,MAIN IMAGE URL,DESCRIPTION,POI
Angel Pickleball,Sports club,7 Wethersfield Way,"7 Wethersfield Way, Wickford SS11 8XX",Wickford,SS11 8XX,United Kingdom,GB,07743753590,,,,,,,https://www.google.com/maps?cid=13279370513529748611,,5,1,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",https://lh3.googleusercontent.com/p/AF1QipNIF0L3Re58UHzs35keeHS09XQzqAll_8PQle2u,,Wheelchair-accessible car park
Anstey Gynsill Tennis club,"Tennis club, Coaching center, Pickleball court, Sports club, Table tennis facility","Corner of Gynsill Close and, Gorse Hill","Corner of Gynsill Close and, Gorse Hill, Anstey, Leicester LE7 7AN",Leicester,LE7 7AN,United Kingdom,GB,07525451833,,https://clubspark.lta.org.uk/AnsteyGynsillTennisClub,,,,,https://www.google.com/maps?cid=6267185235547968570,,4.7,6,"Monday: 6am-10pm, Tuesday: 6am-10pm, Wednesday: 6am-10pm, Thursday: 6am-10pm, Friday: 6am-10pm, Saturday: 6am-10pm, Sunday: 6am-10pm",https://lh3.googleusercontent.com/p/AF1QipNeaoiES4UHieYYZ4gNkMCpAdYmrU9Vp9CQCq9S,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, Toilet, LGBTQ+ friendly, Transgender safe space, Free parking lot, On-site parking"
Ash Manor Tennis & Pickleball Club,Tennis club,Manor Rd,"Manor Rd, Ash, Aldershot GU12 6QH",Aldershot,GU12 6QH,United Kingdom,GB,07749599870,,http://www.ashmanortennis.co.uk/,,,,,https://www.google.com/maps?cid=7132066711630880283,,3.9,7,"Monday: 3:30-9pm, Tuesday: 3:30-9pm, Wednesday: 3:30-9pm, Thursday: 3:30-9pm, Friday: 1-9pm, Saturday: 8:30am-6pm, Sunday: 8:30am-6pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz44sgTTFjQ_HZf2BvJ5Jw1MyYyOzt4x46D4LpTbQIMpzsArxmrVzBSAcjmqRrsI0AfdnRC2u1A5xkCFDr24IkAfOiXPxyH4DXjKa0gRzhicx10T3TTb_h-2lzdYAOBV3k0CpzHYw,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Toilet"
Assembly Pickleball Club,Sports club,"RC, Assembly Point - Didsbury Barlow, Parrs Wood Rd","RC, Assembly Point - Didsbury Barlow, Parrs Wood Rd, Manchester M20 6BX",Manchester,M20 6BX,United Kingdom,GB,07414901659,,https://www.assemblypickleball.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10749760075151821677,,,,,https://www.google.com/maps?cid=11710065609873979421,https://www.assemblypickleball.com/bookings,5,4,,https://lh3.googleusercontent.com/p/AF1QipOSDm68wEqjAKuZhMGglI_wX_tmfNJXc7knV0FB,,"Wheelchair-accessible entrance, Toilet"
Avenue Tennis,"Gym, Bar, Health spa, Personal trainer, Pickleball court, Restaurant, Table tennis facility, Tennis club, Tennis instructor",Featherby Rd,"Featherby Rd, Gillingham ME8 6AN",Gillingham,ME8 6AN,United Kingdom,GB,01634386188,info@avenuetennis.co.uk,https://avenuetennis.co.uk/,https://www.facebook.com/avenuetennismedway,https://www.instagram.com/avenuetennis,,,https://www.google.com/maps?cid=10460343999498595823,,4.8,244,"Monday: 6am-10pm, Tuesday: 6am-10pm, Wednesday: 6am-10pm, Thursday: 6am-10:30pm, Friday: 6am-10:30pm, Saturday: 7am-8pm, Sunday: 8am-8pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyC6UY59pfLujjRLqao6WVlR4Py9EZ-GHmpRJEyMXFkmPUq9pNXXPEG2Y2e3w7zoI7vahRCdzBgsFOBvsPoBVZb7KTpwLdOJ5ydwXz6xzFFn_Fh7s4NP8m2KVBV9kFUqxVyBsuw,,"Outdoor services, On-site services, Online classes (no), Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, Sauna, Has a tennis court, Restaurant, Toilet, Shower, Credit cards, Debit cards, NFC mobile payments, Credit cards, Free parking lot, On-site parking"
Axholme North Leisure Centre,"Leisure centre, Badminton court, Fitness centre, Gym, Pickleball court, Swimming pool, Tennis court, Volleyball court",,"Wharf Rd, Crowle, Scunthorpe DN17 4HU",Scunthorpe,DN17 4HU,United Kingdom,GB,01724291900,,https://www.northlincs.gov.uk/leisure,https://www.facebook.com/northlincscouncil,https://www.instagram.com/northlincolnshirecouncil,,"https://x.com/northlincscnews, https://www.twitter.com/northlincscnews",https://www.google.com/maps?cid=2807535124332996742,,4.7,83,"Monday: 7am-9pm, Tuesday: 7am-9pm, Wednesday: 7am-9pm, Thursday: 7am-9pm, Friday: 7am-9pm, Saturday: 8am-12:30pm, Sunday: 8am-12:30pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSywnwMoiUE5kIEVd1otZZ2NjzAkz9Oi7A6DWFsKaEiDZGXaTIFYEY7mJA5AdyV0nkOZZ2l4dJEfiV0J2boaP7RPkUff8H-y9OgjhQHy-zn6a6dpGzXdWPBunh_BlVnQD4Z_AbFjgw,,
Badfit,"Badminton club, Badminton court, Personal trainer, Pickleball court",Junior Sports Club,"Junior Sports Club, Wooburn Green, Bourne End SL8 5BS",Bourne End,SL8 5BS,United Kingdom,GB,07767047442,badfituk@gmail.com,http://www.badfit.co.uk/,,,,,https://www.google.com/maps?cid=8872131465568756929,,5,9,"Monday: 8am-10pm, Tuesday: 8am-10pm, Wednesday: 8am-10pm, Thursday: 8am-10pm, Friday: 8am-10pm, Saturday: 8am-10pm, Sunday: Closed",https://lh3.googleusercontent.com/p/AF1QipPJk4jISHvfKGbhZtQ5_U0ZUOO0ZRWe6cNgaXSX,,"Wheelchair-accessible car park, Toilet, Debit cards, Credit cards"
Bannatyne Health Club & Spa,"Padel court, Gym, Fitness centre, Spa, Swimming pool",36 Myton Rd,"36 Myton Rd, Thornaby, Stockton-on-Tees TS17 0WA",Stockton-on-Tees,TS17 0WA,United Kingdom,GB,01642766447,sales.ingleby@bannatyne.co.uk,https://www.bannatyne.co.uk/health-club/ingleby-barwick,"https://www.facebook.com/thebannatynegroup, https://en-gb.facebook.com/thebannatynegroup, https://www.facebook.com/bannatyne-health-club-ingleby-barwick-1585223278460312","https://www.instagram.com/bannatyneinglebybarwick, https://www.instagram.com/thebannatynegroup",,https://twitter.com/bannatyne,https://www.google.com/maps?cid=1965538173717514685,,4.3,244,"Monday: 6am-10pm, Tuesday: 6am-10pm, Wednesday: 6am-10pm, Thursday: 6am-10pm, Friday: 6am-10pm, Saturday: 8am-9:30pm, Sunday: 8am-9:30pm",https://lh3.googleusercontent.com/p/AF1QipMox0IOTvQwBPExiFaAsAMOcuLX0kA8fQS2yKQe,,"Outdoor services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet, Sauna, Swimming pool, Toilet, Credit cards, Debit cards, NFC mobile payments, Good for kids"
Barnet Copthall Leisure Centre,"Leisure centre, Badminton court, Fitness centre, Gym, Indoor playground, Pickleball court, Sports complex, Swimming pool, Swimming school, Weight-Loss Service",Champions Way,"Champions Way, London NW4 1PX",London,NW4 1PX,United Kingdom,GB,02084579900,barnet.copthall@gll.org,https://www.better.org.uk/leisure-centre/london/barnet/barnet-copthall-leisure-centre?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,https://www.facebook.com/betteruk/,https://www.instagram.com/better_uk/,,"https://x.com/gll_uk, https://twitter.com/better_uk",https://www.google.com/maps?cid=9406848036794206594,,4,736,"Monday: 6am-10pm, Tuesday: 6am-10pm, Wednesday: 6am-10pm, Thursday: 6am-10pm, Friday: 6am-10pm, Saturday: 6:30am-5pm, Sunday: 8am-6pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyzGL_4-Y7a_StmI2Py0fq-tN7S90F4VxtUPaxSuyvD6tg_jqEcc_OznywCIOhG5eqNueSz9HarzSutJXNikQTcbd9q4VPaPM9lxY8PhntriZKqHFvVJ90SCLx8eAhb0rTM9Yau,"Home of Saracens rugby club and a leisure centre with a swimming pool, gym and driving range.","On-site services, Wheelchair-accessible car park"
Barnsley Padel Club,Sports club,Shaw Ln,"Shaw Ln, Barnsley S70 6HZ",Barnsley,S70 6HZ,United Kingdom,GB,,,https://www.facebook.com/share/1AGtmF1cwd/,https://www.facebook.com/share/1agtmf1cwd/,,,,https://www.google.com/maps?cid=4066728434751063207,https://playtomic.com/clubs/barnsley-padel-club,4.7,12,"Monday: 8am-10pm, Tuesday: 8am-10pm, Wednesday: 8am-10pm, Thursday: 8am-10pm, Friday: 8am-10pm, Saturday: 8am-10pm, Sunday: 8am-10pm",https://lh3.googleusercontent.com/p/AF1QipMjh3xe0EO23Q4JYowSjcvsTrQ45INGaKSVXkBU,,"Wheelchair-accessible car park, Toilet, Free of charge street parking, Free parking lot, On-site parking"
Bartholomew Sports Centre,"Sports complex, Badminton court, Basketball court, Fitness centre, Gym, Personal trainer, Pickleball court, Football pitch, Football Practice",Back Ln,"Back Ln, Eynsham, Witney OX29 4QP",Witney,OX29 4QP,United Kingdom,GB,01865731090,,https://www.better.org.uk/leisure-centre/west-oxfordshire/bartholomew-sports-centre?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,https://www.facebook.com/betteruk/,https://www.instagram.com/better_uk/,,"https://x.com/gll_uk, https://twitter.com/better_uk",https://www.google.com/maps?cid=18352618543791469040,,4,58,"Monday: 7-11:30am / 3-10pm, Tuesday: 7-11:30am / 3-10pm, Wednesday: 7-11:30am / 3-10pm, Thursday: 7-11:30am / 3-10pm, Friday: 7-11:30am / 3-10pm, Saturday: 9am-5pm, Sunday: 9am-5pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzDLCpIKyTucYxkf77tPrZSA3cGnGNMRwX7e0gTk2TDge1UYIc1ISTCvFpvKZnWe0U8vYIPbOzHw7LxoHyrxoxnzMRt--oplFhUAGVQO84VdIn_XvRXCw_rSnUSkqZ_I3sTRbsqQg,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Credit cards, Debit cards, NFC mobile payments, Credit cards"
Basingstoke Pickleball Club,Sports club,"Costello Sports Hall, Crossborough Hill","Costello Sports Hall, Crossborough Hill, Basingstoke RG21 4AL",Basingstoke,RG21 4AL,United Kingdom,GB,01256973969,,,,,,,https://www.google.com/maps?cid=4588329683445992891,,5,1,"Monday: Closed, Tuesday: 7:30-9:30pm, Wednesday: Closed, Thursday: 7:30-9:30pm, Friday: Closed, Saturday: 2-4pm, Sunday: Closed",https://lh3.googleusercontent.com/p/AF1QipP0-tgN5Yjs324AfOTcRvPODJPY3wY4BSihn4oO,,"Wheelchair-accessible car park, Toilet"
Basketball & Pickleball court,Basketball court,6 Fanton Gardens,"6 Fanton Gardens, Wickford SS11 8QP",Wickford,SS11 8QP,United Kingdom,GB,,,,,,,,https://www.google.com/maps?cid=2586377426253199911,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,
Bassline Padel Coaching,"Padel club, Sportswear Shop",Langworthgate,"Langworthgate, Lincoln LN2 4AD",Lincoln,LN2 4AD,United Kingdom,GB,07812411412,info@doddingtonhall.com,https://www.doddingtonhall.com/padel/,"https://www.facebook.com/doddingtonhallandgardens, https://www.facebook.com/wilderdoddington","https://www.instagram.com/doddingtonhall, https://www.instagram.com/wilderdoddington, https://www.instagram.com/doddingtonpadel",,https://twitter.com/doddingtonhall,https://www.google.com/maps?cid=899502576522003771,,5,5,"Monday: 8am-2pm, Tuesday: 8am-2pm, Wednesday: 8am-2pm, Thursday: 8am-2pm, Friday: 8am-2pm, Saturday: Closed, Sunday: Closed",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Toilet"
Bath Tennis Shop,"Tennis Shop, Padel club, Sports accessories wholesaler, Sports equipment rental service, Sportswear Shop, Squash club, Tennis club","Lansdown Tennis Club, Northfields","Lansdown Tennis Club, Northfields, Bath BA1 5TN",Bath,BA1 5TN,United Kingdom,GB,07973672693,shop@blueskytennis.co.uk,https://blueskytennisshop.square.site/,https://facebook.com/blueskytennis360,,,https://twitter.com/blueskytennis1,https://www.google.com/maps?cid=10024923191067751360,,3.7,3,"Monday: 9am-8pm, Tuesday: 9am-8pm, Wednesday: 9am-8pm, Thursday: 9am-8pm, Friday: 9am-8pm, Saturday: 9am-8pm, Sunday: 10am-5pm",https://lh3.googleusercontent.com/p/AF1QipPv5rUrP0tIA8zaPkGcLx-Ji_pk6BLM5Fsjm990,,"Quick visit, Credit cards, Debit cards, NFC mobile payments"
Battersea Power Station,"Padel court, Bar, Cultural landmark, Food court, Ice skating rink, Indoor playground, Historical landmark, Restaurant, Shopping Centre, Tourist attraction",Circus Rd W,"Circus Rd W, Nine Elms, London SW11 8DD",London,SW11 8DD,United Kingdom,GB,02081766500,sales@bpsdc.co.uk,https://batterseapowerstation.co.uk/?utm_source=gbp&utm_medium=organic&utm_campaign=google_business_profile,https://www.facebook.com/batterseapwrstn,https://www.instagram.com/batterseapwrstn,,https://twitter.com/batterseapwrstn,https://www.google.com/maps?cid=10853886050594607453,,4.6,27711,"Monday: 10am-8pm, Tuesday: 10am-8pm, Wednesday: 10am-8pm, Thursday: 10am-8pm, Friday: 10am-8pm, Saturday: 10am-8pm, Sunday: 12-6pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzfyXNwIocQJhXOdNGCMUsTrEL3JER7lA-mMoDX6fiMSM-l2X4L5xhBDCQZ1oxFwpqIeToMXdhSEA6BDVMy7Ay8K1sWcH2W4T8TEvcMuwpISfHzFblcvkYednpIPAqIFEaitddB,"Repurposed riverside Victorian power station featuring luxury shops, dining & entertainment.","On-site services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, Good for kids, On-site parking"
Beaulieu Padel,Padel club,Channels Dr,"Channels Dr, Broomfield, Chelmsford CM3 3FB",Chelmsford,CM3 3FB,United Kingdom,GB,07565111499,,https://www.beaulieupadel.com/,,"http://www.instagram.com/beaulieupadel, https://www.instagram.com/beaulieupadel",,,https://www.google.com/maps?cid=10838850572247707222,,,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwIXeVyl0xZe2Vu-pHqAe4LzBhkN9JClDHFFKtK39fS7D-TgDtOs8IXbyc8azEgKgq5W-nSkkTzgvEyIcIKUe6ZPkwAYPnzflFJ31Ayc5Ua8ierJTPSo-4NVijHrZ8V_1H8x_UBsIsqQjF-,,"Wheelchair-accessible car park, Toilet, On-site parking"
Bedford Padel Club,"Padel club, Service establishment",,,,,,,,,,,,,,https://www.google.com/maps?cid=8240877747549466832,,5,2,,https://lh3.googleusercontent.com/p/AF1QipOYI1KVLiNiOQK_7bx5nsR6D7znGCdb_xZJzyL0,,
Bedford Pickleball,"Outdoor sports shop, Exercise Equipment Shop, Sporting Goods Shop",151 Goldington Rd,"151 Goldington Rd, Bedford MK40 3EL",Bedford,,United Kingdom,GB,,info@bedfordpickleball.co.uk,https://www.bedfordpickleball.co.uk/,,https://www.instagram.com/bedfordpickleballuk,,,https://www.google.com/maps?cid=646586752642277488,,,,"Monday: 9am-8:30pm, Tuesday: 9am-8:30pm, Wednesday: 9am-8:30pm, Thursday: 9am-8:30pm, Friday: 9am-8:30pm, Saturday: 9am-8:30pm, Sunday: 9am-8:30pm",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,
Bentley Pickleball,Sports club,Widney Cl,"Widney Cl, Bentley Heath, Solihull B93 9AS",Solihull,B93 9AS,United Kingdom,GB,07890996716,,,,,,,https://www.google.com/maps?cid=17556463981682174993,,3.3,3,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid,,
Berko Padel,Padel court,,"Cow Roast, Tring HP23 5RF",Tring,,United Kingdom,GB,,info@pitchero.com,https://www.berkohockeyclub.com/a/berko-padel-69607.html,"https://www.facebook.com/v3.2/dialog/oauth, https://www.facebook.com/berkohockey, https://www.facebook.com/pitchero","https://www.instagram.com/berkohockey, https://www.instagram.com/bepitchero",,"https://twitter.com/pitchero, https://twitter.com/berkohockey",https://www.google.com/maps?cid=12781181829371006999,,5,4,"Monday: 10am-10pm, Tuesday: 10am-10pm, Wednesday: 10am-10pm, Thursday: 10am-10pm, Friday: 10am-10pm, Saturday: 10am-10pm, Sunday: 10am-9pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZ7yzGd9US6uB5mIbgIrCG_UENk7qz18spw8UPbS0_bZIw5_zNmGTNqZfA1LiOzIbGSKOvfwXQ61sXJhfI7UY8RKrRFMICPu2s3WqvAJ_Uq0B4_uRZqRjm7MqurJAcqm9J4bzCKTgak3g,,"Wheelchair-accessible car park, Wheelchair-accessible entrance, Credit cards, Debit cards, NFC mobile payments"
Better Gym Sleaford,"Leisure centre, Fitness centre, Gym, Personal trainer, Pickleball court, Sauna, Football pitch, Squash court, Swimming pool, Swimming school","Oakside Park Industrial Estate, East Rd","Oakside Park Industrial Estate, East Rd, Sleaford NG34 7EH",Sleaford,NG34 7EH,United Kingdom,GB,01529304770,gymsleaford@gll.org,https://www.better.org.uk/leisure-centre/north-kesteven/better-gym-sleaford?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,https://www.facebook.com/betteruk/,https://www.instagram.com/better_uk/,,"https://twitter.com/better_uk, https://x.com/gll_uk",https://www.google.com/maps?cid=16380118262854891988,,4.5,84,"Monday: 6:30am-10pm, Tuesday: 6:30am-10pm, Wednesday: 6:30am-10pm, Thursday: 6:30am-9pm, Friday: 6:30am-9pm, Saturday: 8am-4pm, Sunday: 8am-2pm",https://lh3.googleusercontent.com/p/AF1QipMW-l1tA0-0QhaWNMJYn529kEGXv69DqiI50dJN,,"On-site services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, Sauna, Restaurant (no)"
Bexley Padel Club,Sports club,"College Farm Cottages, Manor Way","College Farm Cottages, Manor Way, Bexley DA5 3QG",Bexley,DA5 3QG,United Kingdom,GB,,,,,,,,https://www.google.com/maps?cid=17684039270332508511,,4.8,4,,,,"Wheelchair-accessible car park, Toilet"
Blazing Padels,Sports club,Q4G6+VQ,"Q4G6+VQ, Reepham, Norwich NR10 4SB",Norwich,NR10 4SB,United Kingdom,GB,01603327054,info@blazingpadels.com,https://www.blazingpadels.com/,https://www.facebook.com/p/herbies-caf%c3%a9-61568694547994,"https://www.instagram.com/herbiescafe, https://www.instagram.com/blazingpadels, https://www.instagram.com/blazingpadels/",,,https://www.google.com/maps?cid=1704137139120188709,,4.7,23,"Monday: 6am-11pm, Tuesday: 6am-11pm, Wednesday: 6am-11pm, Thursday: 6am-11pm, Friday: 6am-11pm, Saturday: 6am-11pm, Sunday: 6am-11pm",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwAQdMCXNdhp14pL1bPijMB0fL4m0Gw35gkUSct4Q4o-IvHSVldEKevalGQXeW7_bLDJvBISaOdlWooEL3u3ph_hL74TM5cHdEqa9WltyYuOcgpwY2mjBZMgpzhwq_HTfLHrGch,,"On-site services, Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet, Gender-neutral toilets, Toilet, Wi-Fi, LGBTQ+ friendly, Transgender safe space, On-site parking"
Bliss Padel Coaching,"Coaching center, Service establishment",,,,,,,07484363102,,,,,,,https://www.google.com/maps?cid=11734427118174637719,,,,,,,
